"","municipio_codigo","municipio","uf","latitude","longitude","n","s"
"248",1711951,"LAGOA DO TOCANTINS","TO",-10.368,-47.538,1,0
"249",1712454,"LUZINOPOLIS","TO",-6.17794,-47.8582,0,1
"250",1712504,"MARIANOPOLIS DO TOCANTINS","TO",-9.79377,-49.6553,0,7
"251",1712702,"MATEIROS","TO",-10.5464,-46.4168,0,3
"252",1712801,"MAURILANDIA DO TOCANTINS","TO",-5.95169,-47.5125,0,1
"253",1713205,"MIRACEMA DO TOCANTINS","TO",-9.56556,-48.393,4,5
"254",1713304,"MIRANORTE","TO",-9.52907,-48.5922,2,14
"255",1713601,"MONTE DO CARMO","TO",-10.7611,-48.1114,0,3
"256",1713809,"PALMEIRAS DO TOCANTINS","TO",-6.61658,-47.5464,1,0
"257",1713957,"MURICILANDIA","TO",-7.14669,-48.6091,2,0
"258",1714880,"NOVA OLINDA","TO",-7.63171,-48.4252,0,1
"259",1715002,"NOVA ROSALANDIA","TO",-10.5651,-48.9125,1,2
"260",1715101,"NOVO ACORDO","TO",-9.97063,-47.6785,1,1
"261",1715259,"NOVO JARDIM","TO",-11.826,-46.6325,0,3
"262",1715705,"PALMEIRANTE","TO",-7.84786,-47.9242,2,0
"263",1715754,"PALMEIROPOLIS","TO",-13.0447,-48.4026,0,2
"264",1716109,"PARAISO DO TOCANTINS","TO",-10.175,-48.8823,30,18
"265",1716307,"PAU D'ARCO","TO",-7.53919,-49.367,0,3
"266",1716505,"PEDRO AFONSO","TO",-8.97034,-48.1729,9,4
"267",1716604,"PEIXE","TO",-12.0254,-48.5395,0,1
"268",1716653,"PEQUIZEIRO","TO",-8.5932,-48.9327,0,1
"269",1716703,"COLMEIA","TO",-8.72463,-48.7638,0,1
"270",1717206,"PIRAQUE","TO",-6.77302,-48.2958,2,0
"271",1717503,"PIUM","TO",-10.442,-49.1876,2,0
"272",1717800,"PONTE ALTA DO BOM JESUS","TO",-12.0853,-46.4825,0,11
"273",1717909,"PONTE ALTA DO TOCANTINS","TO",-10.7481,-47.5276,2,1
"274",1718006,"PORTO ALEGRE DO TOCANTINS","TO",-11.618,-47.0621,1,0
"275",1718204,"PORTO NACIONAL","TO",-10.7027,-48.408,22,9
"276",1718402,"PRESIDENTE KENNEDY","TO",-8.5406,-48.5062,1,0
"277",1718451,"PUGMIL","TO",-10.424,-48.8957,1,2
"278",1718659,"RIO DA CONCEICAO","TO",-11.3949,-46.8847,2,0
"279",1718758,"RIO SONO","TO",-9.35002,-47.888,2,3
"280",1718899,"SANTA RITA DO TOCANTINS","TO",-10.8617,-48.9161,0,2
"281",1718907,"SANTA ROSA DO TOCANTINS","TO",-11.4474,-48.1216,1,0
"282",1720101,"SAO BENTO DO TOCANTINS","TO",-6.0258,-47.9012,0,2
"283",1720150,"SAO FELIX DO TOCANTINS","TO",-10.1615,-46.6618,0,2
"284",1720200,"SAO MIGUEL DO TOCANTINS","TO",-5.56305,-47.5743,1,0
"285",1720853,"SUCUPIRA","TO",-11.993,-48.9685,2,0
"286",1720903,"TAGUATINGA","TO",-12.4026,-46.437,0,1
"287",1720978,"TALISMA","TO",-12.7949,-49.0896,2,0
"288",1721000,"PALMAS","TO",-10.24,-48.3558,186,56
"289",1721109,"TOCANTINIA","TO",-9.5632,-48.3741,0,4
"290",1721208,"TOCANTINOPOLIS","TO",-6.32447,-47.4224,5,3
"291",1722081,"WANDERLANDIA","TO",-6.85274,-47.9601,2,2
"292",2100055,"ACAILANDIA","MA",-4.94714,-47.5004,15,24
"293",2100105,"AFONSO CUNHA","MA",-4.13631,-43.3275,0,1
"294",2100154,"AGUA DOCE DO MARANHAO","MA",-2.84048,-42.1189,1,2
"295",2100204,"ALCANTARA","MA",-2.39574,-44.4062,1,2
"296",2100436,"ALTO ALEGRE DO MARANHAO","MA",-4.213,-44.446,0,6
"297",2100501,"ALTO PARNAIBA","MA",-9.10273,-45.9303,0,3
"298",2100600,"AMARANTE DO MARANHAO","MA",-5.56913,-46.7473,0,2
"299",2100808,"ANAPURUS","MA",-3.67577,-43.1014,4,0
"300",2100907,"ARAIOSES","MA",-2.89091,-41.905,0,6
"301",2100956,"ARAME","MA",-4.88347,-46.0032,0,2
"302",2101004,"ARARI","MA",-3.45214,-44.7665,0,1
"303",2101202,"BACABAL","MA",-4.22447,-44.7832,16,7
"304",2101251,"BACABEIRA","MA",-2.96452,-44.3164,3,6
"305",2101400,"BALSAS","MA",-7.53214,-46.0372,91,75
"306",2101509,"BARAO DE GRAJAU","MA",-6.74463,-43.0261,1,0
"307",2101608,"BARRA DO CORDA","MA",-5.49682,-45.2485,1,15
"308",2101707,"BARREIRINHAS","MA",-2.75863,-42.8232,8,3
"309",2101772,"BELA VISTA DO MARANHAO","MA",-3.72618,-45.3075,1,2
"310",2101970,"BOA VISTA DO GURUPI","MA",-1.77614,-46.3002,0,3
"311",2102002,"BOM JARDIM","MA",-3.54129,-45.606,1,1
"312",2102036,"BOM JESUS DAS SELVAS","MA",-4.47638,-46.8641,2,0
"313",2102101,"BREJO","MA",-3.67796,-42.7527,1,1
"314",2102150,"BREJO DE AREIA","MA",-4.334,-45.581,0,2
"315",2102200,"BURITI","MA",-3.94169,-42.9179,0,10
"316",2102309,"BURITI BRAVO","MA",-5.83239,-43.8353,2,0
"317",2102325,"BURITICUPU","MA",-4.32375,-46.4409,3,14
"318",2102507,"CAJARI","MA",-3.32742,-45.0145,0,1
"319",2102804,"CAROLINA","MA",-7.33584,-47.4634,7,2
"320",2103000,"CAXIAS","MA",-4.86505,-43.3617,7,25
"321",2103174,"CENTRO NOVO DO MARANHAO","MA",-2.12696,-46.1228,0,1
"322",2103208,"CHAPADINHA","MA",-3.73875,-43.3538,0,3
"323",2103307,"CODO","MA",-4.45562,-43.8924,4,4
"324",2103406,"COELHO NETO","MA",-4.25245,-43.0108,0,3
"325",2103554,"CONCEICAO DO LAGO-ACU","MA",-3.85142,-44.8895,0,2
