,cnae_fiscal,cnae_fiscal_desc,uf,mun,quant,mun_uf,codigo_ibge,latitude,longitude;
"135,2013402,""Fabricação de adubos e fertilizantes, exceto organo-minerais"",ba,camacari,1.08,camacari - ba,2905701,-12.6996,-38.3263";
"136,2013402,""Fabricação de adubos e fertilizantes, exceto organo-minerais"",go,cristalina,1.06,cristalina - go,5206206,-16.7676,-47.6131";
"137,2013402,""Fabricação de adubos e fertilizantes, exceto organo-minerais"",mt,sorriso,1.13,sorriso - mt,5107925,-12.5425,-55.7211";
138,1411801,Confecção de roupas íntimas,ce,maracanau,1.26,maracanau - ce,2307650,-3.86699,-38.6259;
139,1411801,Confecção de roupas íntimas,ce,maracanau,1.18,maracanau - ce,2307650,-3.86699,-38.6259;
140,1411801,Confecção de roupas íntimas,ce,maracanau,1.18,maracanau - ce,2307650,-3.86699,-38.6259;
141,1411801,Confecção de roupas íntimas,ce,maracanau,1.18,maracanau - ce,2307650,-3.86699,-38.6259;
142,4744002,Comércio varejista de madeira e artefatos,mg,santa maria do suacui,0.01,santa maria do suacui - mg,3158201,-18.1896,-42.4139;
143,4744002,Comércio varejista de madeira e artefatos,mg,santa maria do suacui,0.01,santa maria do suacui - mg,3158201,-18.1896,-42.4139;
144,4744002,Comércio varejista de madeira e artefatos,mg,santa maria do suacui,0.01,santa maria do suacui - mg,3158201,-18.1896,-42.4139;
145,2021500,Fabricação de produtos petroquímicos básicos,rj,belford roxo,0.02,belford roxo - rj,3300456,-22.764,-43.3992;
146,2021500,Fabricação de produtos petroquímicos básicos,rj,duque de caxias,0.0,duque de caxias - rj,3301702,-22.7858,-43.3049;
"147,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",pr,santa helena,0.0,santa helena - pr,4123501,-24.8585,-54.336000000000006";
"148,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",pr,santa helena,574.06,santa helena - pr,4123501,-24.8585,-54.336000000000006";
"149,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",pr,santa helena,851.51,santa helena - pr,4123501,-24.8585,-54.336000000000006";
"150,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",pr,santa helena,800.0,santa helena - pr,4123501,-24.8585,-54.336000000000006";
151,1321900,Tecelagem de fios de algodão,pb,pombal,0.5,pombal - pb,2512101,-6.76606,-37.8003;
152,1321900,Tecelagem de fios de algodão,pb,pombal,0.5,pombal - pb,2512101,-6.76606,-37.8003;
153,1321900,Tecelagem de fios de algodão,pb,pombal,0.5,pombal - pb,2512101,-6.76606,-37.8003;
154,1051100,Preparação do leite,rj,cachoeiras de macacu,10.0,cachoeiras de macacu - rj,3300803,-22.4658,-42.6523;
155,1510600,Curtimento e outras preparações de couro,go,trindade,0.01,trindade - go,5221403,-16.6517,-49.4927;
156,2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,sc,urussanga,0.01,urussanga - sc,4219002,-28.518,-49.3238;
157,2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,sc,urussanga,0.01,urussanga - sc,4219002,-28.518,-49.3238;
158,899199,Extração de outros minerais não metálicos não especificados anteriormente,sc,criciuma,0.2,criciuma - sc,4204608,-28.6723,-49.3729;
159,899199,Extração de outros minerais não metálicos não especificados anteriormente,sc,criciuma,0.1,criciuma - sc,4204608,-28.6723,-49.3729;
160,899199,Extração de outros minerais não metálicos não especificados anteriormente,sc,criciuma,0.05,criciuma - sc,4204608,-28.6723,-49.3729;
161,899199,Extração de outros minerais não metálicos não especificados anteriormente,sc,criciuma,0.03,criciuma - sc,4204608,-28.6723,-49.3729;
162,899199,Extração de outros minerais não metálicos não especificados anteriormente,sc,criciuma,0.05,criciuma - sc,4204608,-28.6723,-49.3729;
163,899199,Extração de outros minerais não metálicos não especificados anteriormente,sc,criciuma,0.08,criciuma - sc,4204608,-28.6723,-49.3729;
164,810007,Extração de argila e beneficiamento associado,sc,vidal ramos,0.01,vidal ramos - sc,4219200,-27.3886,-49.3593;
165,810007,Extração de argila e beneficiamento associado,sc,vidal ramos,0.01,vidal ramos - sc,4219200,-27.3886,-49.3593;
166,810007,Extração de argila e beneficiamento associado,sc,vidal ramos,0.01,vidal ramos - sc,4219200,-27.3886,-49.3593;
167,810007,Extração de argila e beneficiamento associado,sc,vidal ramos,0.01,vidal ramos - sc,4219200,-27.3886,-49.3593;
168,810007,Extração de argila e beneficiamento associado,sc,vidal ramos,0.01,vidal ramos - sc,4219200,-27.3886,-49.3593;
