"","data_inicio_fogo","localidade","mun","uf","tipo_item","provavel_causa","lat","lng"
"2968",NA,"BASE AEREA DE PORTO VELHO","PORTO VELHO","RO","OUTRAS CAUSAS","VANDALISMO",-8.7050743,-63.8973226
"2969",NA,"NOVA MAMORÉ","NOVA MAMORE","RO","CAUSAS NATURAIS","DESCARGA ELÉTRICA DE RAIO",-10.4106678,-65.3305618
"2970","30/08/2018 15:08:00",NA,NA,NA,"ATIVIDADE AGROPECUÁRIA","LIMPEZA DE ÁREA PARA CULTIVO",36.1270711,-79.860718
"2971","21/08/2018 15:08:00","Deserto 03","ALVORADA DO GURGUEIA","PI","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM NATURAL",-8.4460976,-43.866115
"2972",NA,"BR 319 KM 10 SENTIDO HUMAITA","PORTO VELHO","RO","OUTRAS CAUSAS","INDETERMINADO",-8.7609396,-63.8857213
"2973","01/09/2017 18:09:00","CACHOEIRA DO SÃO JOSÉ","MACHADINHO D'OESTE","RO","OUTRAS CAUSAS","VANDALISMO",-9.4451955,-61.981962
"2974","21/09/2017 15:09:00","FAZENDA COINBRA","PORTO VELHO","RO","OUTRAS CAUSAS","VANDALISMO",-8.7523954,-63.9031576
"2975","20/09/2018 14:09:00","PA MÃE MARIA / SAO FELIX DO ARAGUAIA","SAO FELIX DO ARAGUAIA","MT","OUTRAS CAUSAS","VANDALISMO",-11.6179703,-50.6650754
"2976","23/09/2019 05:09:00","Fazenda Baia Negra","LADARIO","MS","OUTRAS CAUSAS","INDETERMINADO",-19.0204069,-57.5721027
"2977","07/09/2019 15:09:00","GOVERNADOR","AMARANTE DO MARANHAO","MA","OUTRAS CAUSAS","VANDALISMO",-5.569492,-46.7481137
"2978","26/09/2020 14:09:00","LH R1","COTRIGUACU","MT","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM PLANTADA",-9.9030481,-58.5657066
"2979","11/09/2020 12:09:00","Aldeia Ityausê","TANGARA DA SERRA","MT","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM NATURAL",-14.6068311,-57.470444
"2980","01/11/2019 11:11:00","PA OLHO D AGUA I / MOJU","MOJU","PA","OUTRAS CAUSAS","VANDALISMO",-2.2524163,-48.7918587
